iter	RMSE
606	10173.83759
607	10161.42976
608	10157.2293
609	10156.95014
610	10143.3871
611	10133.04432
612	10110.68894
613	10099.62794
614	10098.68246
615	10097.52077
616	10090.44306
617	10083.79815
618	10079.50489
619	10074.93975
620	10057.33511
621	10052.11659
622	10032.77968
623	10029.97159
624	10029.33209
625	10016.61914
626	10014.31169
627	10010.41932
628	10001.77058
629	9992.85609
630	9992.642394
631	9984.556552
632	9984.108388
633	9983.469827
634	9961.442374
635	9957.287618
636	9952.452609
637	9945.809247
638	9929.820369
639	9929.342681
640	9925.466683
641	9914.405003
642	9896.411619
643	9894.002798
644	9881.137912
645	9880.353998
646	9866.970056
647	9844.420186
648	9826.284179
649	9796.448709
650	9795.547992
651	9781.245024
652	9767.641362
653	9762.569943
654	9754.959002
655	9754.506629
656	9750.558342
657	9746.648297
658	9742.870248
659	9717.885448
660	9695.582696
661	9693.119992
662	9680.520353
663	9679.913592
664	9663.745122
665	9662.635857
666	9661.74935
667	9653.853718
668	9646.871068
669	9636.669986
670	9632.549599
671	9629.178717
672	9614.85243
673	9599.618367
674	9578.2756
675	9567.341281
676	9548.470042
677	9541.762233
678	9526.01267
679	9504.0684
680	9494.325453
681	9493.786028
682	9468.262361
683	9458.42694
684	9454.113196
685	9451.82069
686	9450.52395
687	9449.426461
688	9439.235692
689	9421.881078
690	9416.951526
691	9416.40652
692	9415.80222
693	9408.047913
694	9404.583154
695	9404.233061
696	9397.689996
697	9393.223084
698	9379.842609
699	9375.178143
700	9374.891723
701	9348.692668
702	9327.277985
703	9325.695735
704	9311.746494
705	9298.285854
706	9289.250925
707	9272.01533
708	9270.813628
709	9258.016357
710	9257.598533
711	9257.290326
712	9241.943149
713	9215.393478
714	9197.793901
715	9197.196648
716	9197.117038
717	9196.825672
718	9190.465831
719	9187.269077
720	9181.839008
721	9174.619644
722	9174.173186
723	9170.806013
724	9163.147165
725	9149.689677
726	9133.543616
727	9131.691468
728	9130.236037
729	9127.783998
730	9118.976031
731	9113.742926
732	9095.77399
733	9094.723523
734	9093.301056
735	9092.595506
736	9082.496556
737	9067.974153
738	9055.499459
739	9055.227296
740	9042.138742
741	9041.663496
742	9037.599121
743	9037.143964
744	9036.493008
745	9034.827986
746	9015.931897
747	9009.257409
748	9008.873993
749	9008.511179
750	8999.985308
751	8998.445485
752	8987.038895
753	8976.19809
754	8960.414098
755	8946.250274
756	8945.896677
757	8932.006992
758	8920.673859
759	8906.554715
760	8905.614303
761	8896.92928
762	8896.677471
763	8890.499343
764	8884.476457
765	8883.72829
766	8879.337133
767	8876.212664
768	8861.986964
769	8847.908412
770	8843.725081
771	8841.901257
772	8833.160947
773	8826.977443
